division,month,late_days,work_days,late_rate
Divisi Kapal Niaga,2024-01-01,141,5091,0.02769593400117855
Divisi Kapal Niaga,2024-02-01,131,4221,0.03103529969201611
Divisi Kapal Niaga,2024-03-01,74,4651,0.015910556869490434
Divisi Kapal Niaga,2024-04-01,70,3818,0.018334206390780514
Divisi Kapal Niaga,2024-05-01,111,5093,0.021794620066758294
Divisi Kapal Niaga,2024-06-01,44,4845,0.009081527347781218
Divisi Kapal Niaga,2024-07-01,37,5771,0.006411367180731243
Divisi Kapal Niaga,2024-08-01,41,5753,0.0071267164957413524
Divisi Kapal Niaga,2024-09-01,32,5199,0.006155029813425659
Divisi Kapal Niaga,2024-10-01,27,5823,0.00463678516228748
Divisi Kapal Niaga,2024-11-01,19,5414,0.003509420022164758
Divisi Kapal Niaga,2024-12-01,21,5076,0.004137115839243499
Divisi Kapal Niaga,2025-01-01,15,5216,0.002875766871165644
Divisi Kapal Niaga,2025-02-01,16,5142,0.0031116297160637884
Divisi Kapal Niaga,2025-03-01,22,5258,0.0041841004184100415
Divisi Kapal Niaga,2025-04-01,25,4693,0.005327082889409759
Divisi Kapal Niaga,2025-05-01,19,5591,0.0033983187265247718
Divisi Kapal Niaga,2025-06-01,28,5060,0.005533596837944664
Divisi Kapal Niaga,2025-07-01,15,6038,0.002484266313348791
Divisi Kapal Niaga,2025-08-01,15,5901,0.002541942043721403
Divisi Kapal Niaga,2025-09-01,18,5613,0.003206841261357563
Divisi Kapal Niaga,2025-10-01,15,5866,0.002557108762359359
Divisi Kapal Niaga,2025-11-01,12,5477,0.0021909804637575314
Divisi Kapal Niaga,2025-12-01,14,5667,0.0024704429151226398
Divisi Kapal Niaga,2026-01-01,14,5160,0.0027131782945736434
Divisi Pemasaran & Penjualan,2024-01-01,66,593,0.11129848229342328
Divisi Pemasaran & Penjualan,2024-02-01,78,552,0.14130434782608695
Divisi Pemasaran & Penjualan,2024-03-01,18,493,0.036511156186612576
Divisi Pemasaran & Penjualan,2024-04-01,44,439,0.10022779043280182
Divisi Pemasaran & Penjualan,2024-05-01,61,534,0.11423220973782772
Divisi Pemasaran & Penjualan,2024-06-01,63,528,0.11931818181818182
Divisi Pemasaran & Penjualan,2024-07-01,99,698,0.14183381088825214
Divisi Pemasaran & Penjualan,2024-08-01,108,690,0.1565217391304348
Divisi Pemasaran & Penjualan,2024-09-01,96,552,0.17391304347826086
Divisi Pemasaran & Penjualan,2024-10-01,75,679,0.11045655375552282
Divisi Pemasaran & Penjualan,2024-11-01,71,660,0.10757575757575757
Divisi Pemasaran & Penjualan,2024-12-01,80,621,0.1288244766505636
Divisi Pemasaran & Penjualan,2025-01-01,88,647,0.13601236476043277
Divisi Pemasaran & Penjualan,2025-02-01,72,621,0.11594202898550725
Divisi Pemasaran & Penjualan,2025-03-01,66,637,0.10361067503924647
Divisi Pemasaran & Penjualan,2025-04-01,44,542,0.08118081180811808
Divisi Pemasaran & Penjualan,2025-05-01,53,608,0.08717105263157894
Divisi Pemasaran & Penjualan,2025-06-01,15,536,0.027985074626865673
Divisi Pemasaran & Penjualan,2025-07-01,31,757,0.04095112285336856
Divisi Pemasaran & Penjualan,2025-08-01,27,680,0.039705882352941174
Divisi Pemasaran & Penjualan,2025-09-01,22,666,0.03303303303303303
Divisi Pemasaran & Penjualan,2025-10-01,11,692,0.015895953757225433
Divisi Pemasaran & Penjualan,2025-11-01,15,572,0.026223776223776224
Divisi Pemasaran & Penjualan,2025-12-01,23,641,0.0358814352574103
Divisi Pemasaran & Penjualan,2026-01-01,17,611,0.027823240589198037
Divisi Teknologi Informasi,2024-01-01,20,440,0.045454545454545456
Divisi Teknologi Informasi,2024-02-01,12,357,0.03361344537815126
Divisi Teknologi Informasi,2024-03-01,2,345,0.005797101449275362
Divisi Teknologi Informasi,2024-04-01,7,323,0.021671826625386997
Divisi Teknologi Informasi,2024-05-01,2,387,0.00516795865633075
Divisi Teknologi Informasi,2024-06-01,4,373,0.010723860589812333
Divisi Teknologi Informasi,2024-07-01,5,440,0.011363636363636364
Divisi Teknologi Informasi,2024-08-01,6,423,0.014184397163120567
Divisi Teknologi Informasi,2024-09-01,3,405,0.007407407407407408
Divisi Teknologi Informasi,2024-10-01,6,452,0.01327433628318584
Divisi Teknologi Informasi,2024-11-01,6,398,0.01507537688442211
Divisi Teknologi Informasi,2024-12-01,3,362,0.008287292817679558
Divisi Teknologi Informasi,2025-01-01,7,368,0.019021739130434784
Divisi Teknologi Informasi,2025-02-01,4,370,0.010810810810810811
Divisi Teknologi Informasi,2025-03-01,4,391,0.010230179028132993
Divisi Teknologi Informasi,2025-04-01,5,323,0.015479876160990712
Divisi Teknologi Informasi,2025-05-01,1,362,0.0027624309392265192
Divisi Teknologi Informasi,2025-06-01,0,343,0.0
Divisi Teknologi Informasi,2025-07-01,0,433,0.0
Divisi Teknologi Informasi,2025-08-01,4,417,0.009592326139088728
Divisi Teknologi Informasi,2025-09-01,5,397,0.012594458438287154
Divisi Teknologi Informasi,2025-10-01,2,448,0.004464285714285714
Divisi Teknologi Informasi,2025-11-01,1,409,0.0024449877750611247
